Symbol,Name,ISIN,Exchange
539487.BO,LIC MF EXCHANGE TRADED FUND- SENSEX,INF767K01OT5,BSE
539516.BO,HDFC NIFTY 50 ETF,INF179KC1965,BSE
539517.BO,HDFC BSE SENSEX ETF,INF179KC1HX2,BSE
539607.BO,Blue Cloud Softech Solutions Ltd,INE373T01047,BSE
539659.BO,Vikram Kamats Hospitality Ltd,INE564S01019,BSE
539682.BO,Mobavenue AI Tech Ltd,INE622Q01019,BSE
539760.BO,Relicab Cable Manufacturing Ltd,INE773T01014,BSE
539784.BO,LIC MF Exchange Traded Fund- NIFTY 100,INF767K01PC8,BSE
539843.BO,NINtec Systems Ltd,INE395U01014,BSE
539895.BO,Spice Lounge Food Works Ltd,INE631E01024,BSE
539945.BO,ICICI Prudential Nifty50 Value 20 ETF,INF109KC11V0,BSE
539980.BO,ICICI Prudential BSE Midcap Select ETF,INF109KC10W0,BSE
540008.BO,Aditya Birla Sun Life BSE Sensex ETF,INF209KB10E8,BSE
540079.BO,Sprayking Ltd,INE537U01037,BSE
540081.BO,SAB Events & Governance Now Media Ltd,INE860T01019,BSE
540154.BO,Bandhan S&P BSE SENSEX ETF,INF194KA1T91,BSE
540252.BO,Viram Suvarn Ltd,INE607V01028,BSE
540358.BO,RMC Switchgears Ltd,INE655V01019,BSE
540360.BO,Leading Leasing Finance And Investment Company Ltd,INE715Q01029,BSE
540377.BO,IFL Enterprises Ltd,INE714U01024,BSE
540395.BO,Chemcrux Enterprises Ltd,INE298W01016,BSE
540403.BO,CL Educate Ltd,INE201M01029,BSE
540404.BO,Prime Fresh Ltd,INE442V01012,BSE
540425.BO,Shankara Building Products Ltd,INE274V01019,BSE
540455.BO,Escorp Asset Management Ltd,INE953W01016,BSE
540492.BO,Starlineps Enterprises Ltd,INE594W01042,BSE
540519.BO,Meera Industries Ltd,INE343X01026,BSE
540612.BO,ICICI Prudential Nifty 100 Low Volatility 30 ETF,INF109KC19U5,BSE
540649.BO,Avadh Sugar & Energy Ltd,INE349W01017,BSE
540669.BO,UTI Nifty Next 50 ETF,INF789F1AUW9,BSE
540693.BO,Shish Industries Ltd,INE145Y01023,BSE
540694.BO,ANG Lifesciences India Ltd,INE236W01016,BSE
540717.BO,Polo Queen Industrial and Fintech Ltd,INE689M01025,BSE
540726.BO,Trident Texofab Ltd,INE071Y01013,BSE
540727.BO,Poojawestern Metaliks Ltd,INE973X01012,BSE
540738.BO,Shreeji Translogistics Ltd,INE402Y01028,BSE
540757.BO,Sheetal Cool Products Ltd,INE501Y01019,BSE
540786.BO,Sharika Enterprises Ltd,INE669Y01022,BSE
540787.BO,BHARAT 22 ETF - ICICI Prudential AMC,INF109KB15Y7,BSE
540796.BO,Ratnabhumi Developers Ltd,INE821Y01011,BSE
540809.BO,MRC Agrotech Ltd,INE333Y01017,BSE
540824.BO,Astron Paper & Board Mill Ltd,INE646X01014,BSE
540901.BO,Praxis Home Retail Ltd,INE546Y01022,BSE
540953.BO,Kenvi Jewels Ltd,INE923Y01023,BSE
540961.BO,Shiva Mills Ltd,INE644Y01017,BSE
541144.BO,Active Clothing Co Ltd,INE380Z01015,BSE
541228.BO,Taylormade Renewables Ltd,INE459Z01017,BSE
541269.BO,Chemfab Alkalis Ltd,INE783X01023,BSE
541302.BO,Dhruv Consultancy Services Ltd,INE506Z01015,BSE
541313.BO,ICICI Prudential BSE 500 ETF,INF109KC1V59,BSE
541338.BO,U. H. Zaveri Ltd,INE556Z01010,BSE
541400.BO,Zim Laboratories Ltd,INE518E01015,BSE
541402.BO,Affordable Robotic & Automation Ltd,INE692Z01013,BSE
541418.BO,Nakoda Group of Industries Ltd,INE236Y01012,BSE
541444.BO,Palm Jewels Ltd,INE838Z01012,BSE
541601.BO,Rajnish Wellness Ltd,INE685Z01033,BSE
541634.BO,Raw Edge Industrial Solutions Ltd,INE960Z01014,BSE
541778.BO,Deep Polymers Ltd,INE00IY01012,BSE
541809.BO,ICICI Prudential Nifty Next 50 ETF,INF109KC1NS5,BSE
541865.BO,Add-Shop ERetail Ltd,INE01B501018,BSE
541972.BO,SBI - ETF - SENSEX NEXT 50,INF200KA1VQ2,BSE
542012.BO,A-1 Ltd,INE911Z01025,BSE
542013.BO,Dolfin Rubbers Ltd,INE666Y01010,BSE
542034.BO,S. M. Gold Ltd,INE00Q901014,BSE
542046.BO,Vivid Mercantile Ltd,INE647Z01025,BSE
542131.BO,MIRAE ASSET NIFTY 50 ETF (MAN50ETF),INF769K01EG9,BSE
542230.BO,Aditya Birla Sun Life Nifty Next 50 ETF,INF209KB16D7,BSE
542248.BO,Deccan Health Care Ltd,INE452W01019,BSE
542459.BO,Kranti Industries Ltd,INE911T01010,BSE
542513.BO,UTI BSE Sensex Next 50 ETF,INF789F1AUU3,BSE
542579.BO,Ashapuri Gold Ornament Ltd,INE05FR01029,BSE
542628.BO,Northern Spirits Ltd,INE01BL01012,BSE
542654.BO,V R Films & Studios Ltd,INE06LG01010,BSE
542666.BO,G. K. P. Printing & Packaging Ltd,INE05QJ01015,BSE
542669.BO,BMW Industries Ltd,INE374E01021,BSE
542694.BO,Parshva Enterprises Ltd,INE05MV01019,BSE
542721.BO,Anand Rayons Ltd,INE02GA01012,BSE
542729.BO,DCM Nouvelle Ltd,INE08KP01019,BSE
542730.BO,ICICI Prudential Nifty Bank ETF,INF109KC15I8,BSE
542747.BO,Nippon India ETF S&P BSE Sensex Next 50,INF204KB15D0,BSE
542758.BO,ICICI Prudential Nifty Private Bank ETF,INF109KC18U7,BSE
542770.BO,Alphalogic Techsys Ltd,INE08E401029,BSE
542802.BO,Galactico Corporate Services Ltd,INE906Y01028,BSE
542863.BO,Aditya Birla Sun Life Nifty Bank ETF,INF209KB17D5,BSE
542865.BO,Anuroop Packaging Ltd,INE490Z01012,BSE
542921.BO,ICICI Prudential Nifty Midcap 150 ETF,INF109KC11W8,BSE
542922.BO,Mirae Asset Nifty Next 50 ETF (MANXT50ETF),INF769K01FN2,BSE
542933.BO,Universus Photo Imagings Ltd,INE03V001013,BSE
543144.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - MONTHLY DIVIDEND PLAN(Issue Price: 0.01),INF204KB11T5,BSE
543145.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIRECT DIVIDEND PLAN(Issue Price: 0.01),INF204KB12S5,BSE
543146.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - MONTHLY DIVIDEND PLAN(Issue Price: 0.01),INF204KB12T3,BSE
543147.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIRECT MONTHLY DIVIDEND PLAN(Issue Price: 0.01),INF204KB13S3,BSE
543148.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIRECT MONTHLY DIVIDEND PLAN(Issue Price: 0.01),INF204KB14S1,BSE
543149.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - BONUS PLAN(Issue Price: 0.01),INF204KB15S8,BSE
543150.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - GROWTH PLAN(Issue Price: 0.01),INF204KB16S6,BSE
543151.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIRECT BONUS PLAN(Issue Price: 0.01),INF204KB17R6,BSE
543152.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - QUARTERLY DIVIDEND PLAN(Issue Price: 0.01),INF204KB17S4,BSE
543153.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIRECT GROWTH PLAN(Issue Price: 0.01),INF204KB18R4,BSE
543154.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - QUARTERLY DIVIDEND PLAN(Issue Price: 0.01),INF204KB18S2,BSE
543155.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIRECT QUARTERLY DIVIDEND PLAN(Issue Price: 0.01),INF204KB19R2,BSE
543156.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIVIDEND PLAN(Issue Price: 0.01),INF204KB19S0,BSE
543168.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIRECT QUARTERLY DIVIDEND PLAN(Issue Price: 0.01),INF204KB10S9,BSE
543169.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIVIDEND PLAN(Issue Price: 0.01),INF204KB10T7,BSE
543170.BO,NIPPON INDIA EQUITY SAVINGS FUND -  SEGREGATED PORTFOLIO 2 - DIRECT DIVIDEND PLAN(Issue Price: 0.01),INF204KB11S7,BSE
543171.BO,RO Jewels Ltd,INE0BDU01028,BSE
543173.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIVIDEND PLANDIVIDEND REINVESTMENT,INF204KB14U7,BSE
543174.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2GROWTH PLAN GROWTH OPTIONGROWTH,INF204KB10U5,BSE
543175.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2MONTHLY DIVIDEND PLANDIVIDEND PAYOUT,INF204KB15U4,BSE
543176.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2MONTHLY DIVIDEND PLANREINVESTMENT,INF204KB16U2,BSE
543177.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2QUARTERLY DIVIDEND PLANDIVIDEND PAYOUT,INF204KB11U3,BSE
543178.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2QUARTERLY DIVIDEND PLANREINVESTMENT,INF204KB12U1,BSE
543179.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT PLAN DIVIDEND PLANDIVIDEND PAYOUT,INF204KB16T4,BSE
543180.BO,NIPPON INDIA EQUITY HYBRID FUND -  SEGREGATED PORTFOLIO 2DIRECT PLAN DIVIDEND PLANDIVIDEND REINVESTMENT,INF204KB17T2,BSE
