Date,Equity,Cash,Positions
2017-07-11,1021976.04,300617.8,7
2017-07-12,1029898.35,300617.8,7
2017-07-13,1047454.43,300617.8,7
2017-07-14,1037080.16,300617.8,7
2017-07-17,1035139.55,300617.8,7
2017-07-18,1034116.85,300617.8,7
2017-07-19,1039504.93,300617.8,7
2017-07-20,1028889.65,300617.8,7
2017-07-21,1027090.04,384837.77,6
2017-07-24,1025761.32,384837.77,6
2017-07-25,1031002.51,384837.77,6
2017-07-26,1030292.95,384837.77,6
2017-07-27,1021319.74,384837.77,6
2017-07-28,1024814.88,285060.67,7
2017-07-31,1021900.07,285060.67,7
2017-08-01,1020186.95,285060.67,7
2017-08-02,1004653.29,185073.51,8
2017-08-03,1005108.64,185073.51,8
2017-08-04,995081.64,185073.51,8
2017-08-07,1005405.89,185073.51,8
2017-08-08,1001665.94,265979.16,7
2017-08-09,987773.83,265979.16,7
2017-08-10,971260.34,265979.16,7
2017-08-11,969989.31,265979.16,7
2017-08-14,977800.61,265979.16,7
2017-08-15,977800.61,265979.16,7
2017-08-16,989796.79,265979.16,7
2017-08-17,993774.5,166186.74,8
2017-08-18,997831.84,166186.74,8
2017-08-21,999477.4,166186.74,8
2017-08-22,995811.8,166186.74,8
2017-08-23,999395.5,166186.74,8
2017-08-24,1002735.15,166186.74,8
2017-08-25,1002735.15,166186.74,8
2017-08-28,1001557.88,166186.74,8
2017-08-29,991723.39,166186.74,8
2017-08-30,994434.93,166186.74,8
2017-08-31,998486.7,66242.3,9
2017-09-01,1006220.48,66242.3,9
2017-09-04,993166.29,11.91,10
2017-09-05,993636.36,11.91,10
2017-09-06,989560.06,11.91,10
2017-09-07,998807.85,11.91,10
2017-09-08,1000571.7,11.91,10
2017-09-11,1004884.17,11.91,10
2017-09-12,1006898.57,11.91,10
2017-09-13,996732.91,11.91,10
2017-09-14,996960.89,11.91,10
2017-09-15,995961.73,11.91,10
2017-09-18,1014078.16,11.91,10
2017-09-19,1016685.54,11.91,10
2017-09-20,1021974.4,11.91,10
2017-09-21,1015578.36,11.91,10
2017-09-22,986975.12,11.91,10
2017-09-25,974994.06,11.91,10
2017-09-26,975037.5,11.91,10
2017-09-27,957384.06,11.91,10
2017-09-28,965308.46,84894.35,9
2017-09-29,971506.34,84894.35,9
2017-10-02,971506.34,84894.35,9
2017-10-03,973719.78,84894.35,9
2017-10-04,980322.63,1452.4,10
2017-10-05,988852.85,1452.4,10
2017-10-06,994449.71,1452.4,10
2017-10-09,987978.75,1452.4,10
2017-10-10,995472.8,1452.4,10
2017-10-11,982785.12,1452.4,10
2017-10-12,989202.06,1452.4,10
2017-10-13,987251.57,1452.4,10
2017-10-16,989103.32,1452.4,10
2017-10-17,990809.7,57076.5,9
2017-10-18,998891.54,74.77,10
2017-10-19,994071.08,74.77,10
2017-10-20,994071.08,74.77,10
2017-10-23,990093.23,74.77,10
2017-10-24,995176.73,74.77,10
2017-10-25,984273.96,74.77,10
2017-10-26,988493.84,74.77,10
2017-10-27,993870.0,74.77,10
2017-10-30,999978.67,74.77,10
2017-10-31,1006374.56,74.77,10
2017-11-01,1014463.18,74.77,10
2017-11-02,1019696.17,74.77,10
2017-11-03,1019526.92,74.77,10
2017-11-06,1015326.3,74.77,10
2017-11-07,1004407.96,74.77,10
2017-11-08,983748.69,74.77,10
2017-11-09,993173.46,187723.76,8
2017-11-10,993453.9,816.79,10
2017-11-13,1005772.7,816.79,10
2017-11-14,1014166.72,816.79,10
2017-11-15,986541.37,816.79,10
2017-11-16,987468.65,88177.44,9
2017-11-17,989096.02,88177.44,9
2017-11-20,996166.54,102.17,10
2017-11-21,1005359.87,102.17,10
2017-11-22,1026916.17,102.17,10
2017-11-23,1028532.14,102.17,10
2017-11-24,1041356.18,102.17,10
2017-11-27,1056046.61,102.17,10
2017-11-28,1077081.86,102.17,10
2017-11-29,1081707.67,102.17,10
2017-11-30,1077432.61,102.17,10
2017-12-01,1074680.32,102.17,10
2017-12-04,1084756.71,102.17,10
2017-12-05,1093209.4,102.17,10
2017-12-06,1082433.34,102.17,10
2017-12-07,1092006.78,102.17,10
2017-12-08,1093560.46,102.17,10
2017-12-11,1093402.42,102.17,10
2017-12-12,1078704.88,102.17,10
2017-12-13,1070624.59,102.17,10
2017-12-14,1063332.4,102.17,10
2017-12-15,1074995.01,102.17,10
2017-12-18,1092188.6,102.17,10
2017-12-19,1122431.91,102.17,10
2017-12-20,1132584.54,102.17,10
2017-12-21,1129441.12,102.17,10
2017-12-22,1127761.23,102.17,10
2017-12-26,1125148.47,102.17,10
2017-12-27,1119453.97,102.17,10
2017-12-28,1126264.09,102.17,10
2017-12-29,1128144.94,102.17,10
2018-01-01,1136920.31,102.17,10
2018-01-02,1128356.13,102.17,10
2018-01-03,1135356.1,102.17,10
2018-01-04,1127698.57,102.17,10
2018-01-05,1143546.48,102.17,10
2018-01-08,1152932.26,102.17,10
2018-01-09,1153467.07,102.17,10
2018-01-10,1153722.8,102.17,10
2018-01-11,1160677.25,102.17,10
2018-01-12,1157841.26,102.17,10
2018-01-15,1158267.15,102.17,10
2018-01-16,1133516.62,102.17,10
2018-01-17,1142125.81,102.17,10
2018-01-18,1122802.61,102.17,10
2018-01-19,1124573.41,102.17,10
2018-01-22,1138574.61,102.17,10
2018-01-23,1139553.96,102.17,10
2018-01-24,1135498.02,102.17,10
2018-01-25,1132551.66,1193.22,10
2018-01-26,1132551.66,1193.22,10
2018-01-29,1125926.98,1193.22,10
2018-01-30,1115347.52,1193.22,10
2018-01-31,1119799.76,85948.75,9
2018-02-01,1128172.3,85948.75,9
2018-02-02,1081891.78,85948.75,9
2018-02-05,1059580.13,85948.75,9
2018-02-06,1043756.84,85948.75,9
2018-02-07,1069966.7,85948.75,9
2018-02-08,1092970.4,85948.75,9
2018-02-09,1086058.51,85948.75,9
2018-02-12,1111156.09,85948.75,9
2018-02-13,1111156.09,85948.75,9
2018-02-14,1117158.27,85948.75,9
2018-02-15,1097998.56,85948.75,9
2018-02-16,1081826.46,85948.75,9
2018-02-19,1072013.23,85948.75,9
2018-02-20,1067062.15,166202.5,8
2018-02-21,1062945.86,166202.5,8
2018-02-22,1054723.01,166202.5,8
2018-02-23,1069581.33,166202.5,8
