Ticker,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Exit_Reason,Shares,PnL_Pct,Holding_Days,Result,Entry_Type,Recovery_Speed,Recovery_Days,Score
INTELLECT.NS,2022-03-28,850.6,2022-05-05,700.39,15% Hard Stop,117,-17.66,38,Loss,ATH,Fast,5,68.95
WELCORP.NS,2022-04-07,188.35,2022-05-11,159.67,15% Hard Stop,530,-15.23,34,Loss,52W_HIGH_FALLBACK,Fast,1,89.57
BANKBARODA.NS,2022-02-01,96.28,2022-05-16,85.11,220 EMA Break,1038,-11.6,104,Loss,52W_HIGH_FALLBACK,Fast,2,81.17
NIITLTD.NS,2021-07-30,323.66,2022-05-26,404.57,220 EMA Break,308,25.0,300,Win,ATH,Fast,3,90.0
BLUESTARCO.NS,2022-04-06,551.12,2022-06-07,466.31,15% Hard Stop,181,-15.39,62,Loss,ATH,Fast,18,91.29
BAGFILMS.NS,2022-02-23,6.45,2022-06-13,5.45,15% Hard Stop,15503,-15.5,110,Loss,52W_HIGH_FALLBACK,Fast,4,76.08
CHOLAFIN.NS,2022-02-23,693.06,2022-06-14,595.79,220 EMA Break,144,-14.03,111,Loss,ATH,Fast,2,62.87
ARVSMART.NS,2022-09-13,284.58,2022-09-26,236.47,15% Hard Stop,351,-16.91,13,Loss,ATH,Fast,3,69.98
BRIGADE.NS,2022-09-13,573.58,2022-10-17,486.25,15% Hard Stop,174,-15.23,34,Loss,ATH,Fast,2,68.24
GPTINFRA.NS,2022-10-03,31.56,2022-11-10,26.6,15% Hard Stop,3168,-15.7,38,Loss,52W_HIGH_FALLBACK,Fast,8,73.17
HLVLTD.NS,2022-11-14,12.15,2022-11-22,10.15,15% Hard Stop,8230,-16.46,8,Loss,52W_HIGH_FALLBACK,Fast,2,84.02
ONEPOINT.NS,2022-11-28,18.3,2022-12-23,15.0,15% Hard Stop,5464,-18.03,25,Loss,ATH,Fast,17,100.0
ADANIPORTS.NS,2022-09-12,900.33,2022-12-26,785.46,220 EMA Break,111,-12.76,105,Loss,ATH,Fast,1,59.78
DEVIT.NS,2022-03-24,27.73,2023-02-06,38.89,220 EMA Break,3606,40.24,319,Win,ATH,Fast,1,100.0
PETRONET.NS,2023-01-25,205.27,2023-02-06,186.57,220 EMA Break,487,-9.11,12,Loss,52W_HIGH_FALLBACK,Fast,22,96.32
KUANTUM.NS,2022-09-13,115.92,2023-02-28,108.78,220 EMA Break,862,-6.16,168,Loss,ATH,Fast,1,69.43
SIKKO.NS,2022-09-13,4.22,2023-03-02,3.88,220 EMA Break,23721,-7.99,170,Loss,ATH,Fast,1,83.67
